OBJECTID,TAG,CODE,ROUTE,ACCOUNTNUM,PEANO,FEEDERID,OWNER,INSTALLATI,LATITUDE,LONGITUDE,"Lat, Long"
1875242,11MTAA000188392,AFAG,39,-,29858552,FAA10,PEA,6017446266,19.85373147,99.20220107,"19.8537314705, 99.2022010701"
1620075,11MTAA000059218,AFAG,39,408010,6600584075,FAA10,PEA,6006972699,19.85283928,99.20408358,"19.8528392829, 99.2040835799"
620954,1150MT000240345,AFAG,155,410200,16639584,FAA09,PEA,6007575346,19.85503809,99.20538103,"19.8550380893, 99.2053810281"
619789,1150MT000239180,AFAG,19,194514,5900794491,FAA06,,6006857630,19.89406078,99.20204262,"19.8940607802, 99.2020426195"
620337,1150MT000239728,AFAG,18,188232,5900098695,FAA06,,6006853741,19.8980317,99.2030141,"19.8980316971, 99.2030140964"
620315,1150MT000239706,AFAG,18,189000,24001017,FAA06,,6006855550,19.89743438,99.20436551,"19.8974343847, 99.2043655133"
617541,1150MT000236932,AFAG,17,178103,23299239,FAA06,PEA,6006848530,19.90122792,99.20563378,"19.9012279234, 99.205633781"
617819,1150MT000237210,AFAG,148,171102,24551650,FAA06,,6007554389,19.90553092,99.20409513,"19.905530922, 99.2040951331"
617601,1150MT000236992,AFAG,17,176921,18012656,FAA06,,6006847854,19.90301367,99.20512114,"19.9030136694, 99.2051211437"
617532,1150MT000236923,AFAG,17,177800,6600281983,FAA06,PEA,6006848250,19.90195349,99.20570116,"19.9019534869, 99.2057011553"
617775,1150MT000237166,AFAG,120,157800,6200141460,FAA06,PEA,6007448107,19.90854636,99.20205523,"19.9085463614, 99.2020552324"
617982,1150MT000237373,AFAG,148,170202,6300233015,FAA06,PEA,6007553844,19.9068348,99.2052568,"19.906834798, 99.2052567965"
601498,1150MT000220889,AFAG,113,132730,19300476,FAA04,PEA,6007408750,19.84001853,99.20903772,"19.8400185332, 99.2090377225"
1710864,11MTAA000101090,AFAG,113,-,25260760,FAA04,PEA,6007408719,19.84002193,99.20949581,"19.8400219268, 99.2094958066"
601468,1150MT000220859,AFAG,113,130901,5801369593,FAA04,PEA,6007407819,19.84377447,99.20948363,"19.8437744732, 99.2094836334"
620994,1150MT000240385,AFAG,165,412500,22189734,FAA09,PEA,6007622408,19.8574104,99.20747518,"19.8574103972, 99.2074751773"
621016,1150MT000240407,AFAG,165,416702,18650527,FAA09,PEA,6007624103,19.85972759,99.20833581,"19.8597275912, 99.2083358081"
2209890,11MTAA000419124,AFAG,18,189190,17676975,FAA06,,6006852779,19.89655817,99.20702853,"19.8965581674, 99.2070285292"
2357232,11MTAA000522049,AFAG,18,189240,5801351936,FAA06,,6019599519,19.8961199,99.20801397,"19.8961199018, 99.2080139713"
2357200,11MTAA000522051,AFAG,18,189250,17676716,FAA06,,6006850931,19.89607491,99.20814492,"19.8960749084, 99.2081449189"
